,ra,dec,z,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,mag_auto_z_dered,mag_auto_y_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i,magerr_auto_z,magerr_auto_y
1751,334.029844,1.188468,0.7492,23.040067672729492,22.483646392822266,22.000282287597656,21.774669647216797,22.096878051757812,0.05319226533174515,0.04339245706796646,0.04297127574682236,0.06379398703575134,0.2876715064048767
1752,334.247114,0.729717,0.7494,23.625160217285156,22.83652114868164,22.24319839477539,22.108144760131836,22.280376434326172,0.10803137719631195,0.0696767196059227,0.0610320158302784,0.10599993914365768,0.36871957778930664
1753,335.265434,0.989472,0.2844,22.7868709564209,22.129819869995117,21.85909080505371,21.925569534301758,22.247282028198242,0.05280912294983864,0.03526134043931961,0.04552491009235382,0.09903156012296677,0.3964793384075165
1754,334.692499,-0.353787,0.9201,23.562021255493164,23.009628295898438,22.150501251220703,21.816997528076172,22.439531326293945,0.10869069397449493,0.08330534398555756,0.05607796832919121,0.08183053135871887,0.5413650870323181
1755,334.392529,0.625879,0.7505,23.333290100097656,21.74776268005371,20.593936920166016,20.17740249633789,20.119552612304688,0.09116299450397491,0.029359450563788414,0.015452868305146694,0.022022290155291557,0.06906875222921371
1756,334.993782,-0.333907,0.9216,23.768054962158203,23.043516159057617,22.151409149169922,21.77814483642578,21.54007911682129,0.10591305792331696,0.07095205038785934,0.047952085733413696,0.06519991904497147,0.19667211174964905
1757,335.382937,0.644895,0.7708,23.469919204711914,22.420164108276367,21.745655059814453,21.337961196899414,21.138132095336914,0.12549780309200287,0.06879033148288727,0.05354594439268112,0.0814630538225174,0.1960822492837906
1758,334.613917,0.351163,0.3736,21.959365844726562,21.16620445251465,20.929065704345703,20.756683349609375,20.79836082458496,0.02498359978199005,0.01700429990887642,0.020627329126000404,0.03219301253557205,0.12080460041761398
1759,334.298649,0.383374,0.2188,20.408367156982422,19.562015533447266,19.188880920410156,19.013675689697266,18.949384689331055,0.009912130422890186,0.006258128676563501,0.006708805449306965,0.010122707113623619,0.041612084954977036
1760,334.23297,0.333359,0.538,22.412857055664062,21.755422592163086,21.56094741821289,21.642377853393555,21.43031883239746,0.03297040984034538,0.0249654371291399,0.0315309539437294,0.06798771023750305,0.19377315044403076
1761,334.66723,-0.314264,0.6276,22.55103302001953,21.708755493164062,21.379772186279297,21.15409278869629,20.999160766601562,0.050510238856077194,0.028947127982974052,0.03182816132903099,0.0503460131585598,0.16459134221076965
1762,334.978211,-0.025288,0.2909,22.891830444335938,22.094440460205078,21.896770477294922,21.783023834228516,21.635278701782227,0.06519291549921036,0.03908433020114899,0.048709265887737274,0.09294822812080383,0.28237661719322205
1763,335.173558,1.179947,0.2495,22.783586502075195,22.03658103942871,21.71233558654785,21.640960693359375,21.568418502807617,0.05447307229042053,0.03689882159233093,0.04374692961573601,0.08077114075422287,0.23588554561138153
1764,334.298205,0.393679,0.8195,24.025184631347656,22.20458221435547,20.97348403930664,20.437705993652344,20.29517936706543,0.15407027304172516,0.03992154076695442,0.01970985159277916,0.023543477058410645,0.07639307528734207
